Date,Amount,Category,Description
9/22/2025,3520.97,Health,Health expense
2/4/2025,900.59,Utilities,Utilities expense
8/8/2023,940.94,Entertainment,Entertainment expense
3/16/2023,1144.32,Transport,Transport expense
10/5/2023,4048.54,Health,Health expense
7/29/2025,3817.21,Transport,Transport expense
5/6/2024,3074.02,Shopping,Shopping expense
2/12/2023,3572.71,Transport,Transport expense
11/4/2025,1625.1,Health,Health expense
3/1/2023,4754.46,Food,Food expense
5/5/2023,1101.18,Transport,Transport expense
8/23/2025,2727.81,Education,Education expense
11/28/2024,3892.23,Transport,Transport expense
1/10/2023,4251.35,Shopping,Shopping expense
9/25/2024,3881.32,Entertainment,Entertainment expense
10/5/2023,4383.65,Utilities,Utilities expense
6/7/2024,2945.6,Health,Health expense
9/21/2024,1212.78,Health,Health expense
6/16/2025,4618.23,Education,Education expense
2/4/2024,4584.57,Shopping,Shopping expense
8/8/2025,3137.37,Transport,Transport expense
11/11/2023,1548.64,Food,Food expense
5/27/2023,968.57,Education,Education expense
4/12/2025,1120.55,Entertainment,Entertainment expense
4/6/2024,1788.78,Shopping,Shopping expense
3/23/2024,1951.07,Transport,Transport expense
12/10/2024,138.29,Transport,Transport expense
12/30/2024,182.95,Utilities,Utilities expense
11/1/2023,1138.9,Health,Health expense
8/4/2025,1721.56,Health,Health expense
6/13/2023,4506.84,Transport,Transport expense
10/19/2025,928.43,Shopping,Shopping expense
11/22/2024,704.34,Utilities,Utilities expense
6/3/2025,3269.77,Entertainment,Entertainment expense
8/19/2025,601.82,Shopping,Shopping expense
4/1/2024,886.28,Entertainment,Entertainment expense
3/5/2023,2448.35,Food,Food expense
5/4/2025,3068.69,Food,Food expense
9/14/2023,735.38,Education,Education expense
8/27/2024,4946.57,Shopping,Shopping expense
3/26/2025,3069.64,Entertainment,Entertainment expense
2/11/2023,1796.62,Entertainment,Entertainment expense
3/23/2025,2862.59,Education,Education expense
9/19/2023,4729.22,Transport,Transport expense
1/5/2024,3972.19,Entertainment,Entertainment expense
8/6/2025,2606.55,Health,Health expense
7/31/2025,1748.03,Education,Education expense
5/10/2024,1959.64,Food,Food expense
10/24/2025,2783.21,Health,Health expense
7/27/2025,2704.28,Utilities,Utilities expense
5/5/2024,3895.84,Transport,Transport expense
5/6/2023,3915.08,Health,Health expense
8/29/2025,1948.82,Education,Education expense
7/10/2025,3924.81,Entertainment,Entertainment expense
10/7/2023,765.57,Health,Health expense
9/21/2025,1850.2,Shopping,Shopping expense
11/6/2024,2518.62,Entertainment,Entertainment expense
8/19/2023,382.2,Shopping,Shopping expense
12/27/2025,3672.84,Shopping,Shopping expense
5/17/2024,767.27,Health,Health expense
12/25/2025,226.3,Shopping,Shopping expense
4/27/2024,3777.47,Entertainment,Entertainment expense
6/13/2024,4815.15,Transport,Transport expense
11/10/2023,2893.88,Shopping,Shopping expense
8/7/2024,4216.75,Food,Food expense
1/26/2024,4729.93,Transport,Transport expense
2/19/2023,2000.08,Health,Health expense
3/15/2024,4086.75,Transport,Transport expense
9/25/2025,894.74,Food,Food expense
10/1/2024,2497.21,Utilities,Utilities expense
9/15/2023,2055.57,Education,Education expense
12/6/2025,3052.75,Education,Education expense
10/26/2024,129.0,Shopping,Shopping expense
8/26/2024,3678.4,Utilities,Utilities expense
2/27/2024,2006.43,Entertainment,Entertainment expense
2/22/2023,3612.71,Food,Food expense
2/27/2025,3074.56,Education,Education expense
1/10/2025,1416.7,Food,Food expense
3/10/2023,3061.76,Food,Food expense
4/5/2023,3473.2,Shopping,Shopping expense
3/27/2025,4143.15,Utilities,Utilities expense
12/15/2024,816.83,Education,Education expense
10/1/2025,116.59,Health,Health expense
5/7/2025,439.49,Shopping,Shopping expense
4/28/2024,4905.8,Shopping,Shopping expense
9/29/2023,2874.04,Transport,Transport expense
2/20/2023,3149.39,Education,Education expense
8/10/2023,991.27,Food,Food expense
2/28/2023,369.18,Education,Education expense
7/24/2024,1857.26,Food,Food expense
4/3/2024,422.51,Education,Education expense
2/28/2025,3471.12,Health,Health expense
1/30/2025,4906.27,Shopping,Shopping expense
11/9/2023,593.05,Entertainment,Entertainment expense
7/23/2024,1688.44,Health,Health expense
10/11/2024,2535.68,Shopping,Shopping expense
6/17/2023,423.69,Food,Food expense
10/10/2023,2582.82,Food,Food expense
11/25/2025,2214.56,Utilities,Utilities expense
11/1/2025,189.98,Health,Health expense
9/4/2025,1804.2,Utilities,Utilities expense
4/21/2025,3605.7,Transport,Transport expense
5/19/2025,974.7,Health,Health expense
10/3/2024,2897.89,Health,Health expense
10/29/2023,1605.04,Shopping,Shopping expense
6/30/2023,2049.11,Shopping,Shopping expense
6/19/2023,4914.87,Utilities,Utilities expense
1/14/2023,2889.82,Utilities,Utilities expense
6/10/2024,819.31,Transport,Transport expense
10/5/2025,3966.75,Shopping,Shopping expense
8/21/2025,2228.99,Health,Health expense
5/16/2024,776.88,Education,Education expense
10/31/2025,3813.24,Health,Health expense
11/22/2024,1643.66,Entertainment,Entertainment expense
7/19/2024,1170.14,Transport,Transport expense
2/20/2024,552.18,Health,Health expense
5/12/2023,3447.35,Food,Food expense
2/12/2025,3606.94,Health,Health expense
8/2/2025,4360.08,Entertainment,Entertainment expense
9/3/2023,3924.81,Utilities,Utilities expense
12/2/2023,454.25,Food,Food expense
1/29/2024,3490.73,Education,Education expense
6/30/2023,1848.9,Entertainment,Entertainment expense
1/19/2024,807.64,Food,Food expense
4/10/2024,4640.91,Health,Health expense
1/3/2023,1060.52,Utilities,Utilities expense
12/1/2025,2819.08,Health,Health expense
9/10/2025,4922.4,Food,Food expense
3/6/2025,2648.11,Utilities,Utilities expense
7/29/2023,4118.29,Entertainment,Entertainment expense
1/17/2023,3981.53,Utilities,Utilities expense
9/30/2025,2476.58,Health,Health expense
3/1/2024,4503.91,Food,Food expense
8/23/2025,3568.4,Education,Education expense
7/4/2025,1664.56,Education,Education expense
1/30/2025,261.35,Entertainment,Entertainment expense
10/18/2023,1398.09,Utilities,Utilities expense
8/14/2023,4317.35,Transport,Transport expense
2/14/2024,1541.85,Transport,Transport expense
3/31/2023,2408.2,Entertainment,Entertainment expense
11/12/2024,3929.81,Utilities,Utilities expense
12/29/2023,3194.5,Transport,Transport expense
12/26/2023,1688.56,Education,Education expense
8/9/2023,2106.94,Entertainment,Entertainment expense
4/12/2024,270.31,Utilities,Utilities expense
8/31/2025,3903.02,Transport,Transport expense
6/22/2024,93.05,Transport,Transport expense
2/26/2023,3685.9,Transport,Transport expense
7/25/2025,1376.73,Shopping,Shopping expense
5/15/2025,213.88,Shopping,Shopping expense
2/23/2023,3228.6,Entertainment,Entertainment expense
11/28/2023,2267.1,Utilities,Utilities expense
7/27/2025,3837.72,Health,Health expense
6/13/2024,673.81,Utilities,Utilities expense
9/10/2024,733.19,Health,Health expense
3/25/2024,2569.39,Health,Health expense
4/13/2023,3675.7,Entertainment,Entertainment expense
10/29/2023,4829.16,Education,Education expense
5/14/2023,750.89,Transport,Transport expense
8/29/2024,4382.07,Utilities,Utilities expense
8/17/2024,1508.46,Transport,Transport expense
5/3/2024,2522.09,Utilities,Utilities expense
8/11/2023,4499.9,Health,Health expense
12/19/2023,4171.99,Utilities,Utilities expense
8/7/2023,4269.99,Entertainment,Entertainment expense
12/29/2025,405.87,Transport,Transport expense
5/14/2024,2960.06,Health,Health expense
12/25/2024,1072.65,Transport,Transport expense
3/5/2023,557.59,Health,Health expense
1/18/2023,708.48,Shopping,Shopping expense
9/18/2023,1613.71,Education,Education expense
3/19/2024,2784.67,Food,Food expense
12/22/2024,891.22,Entertainment,Entertainment expense
2/25/2025,4597.93,Shopping,Shopping expense
11/11/2023,983.11,Shopping,Shopping expense
3/8/2023,649.66,Health,Health expense
3/20/2023,3822.04,Transport,Transport expense
5/9/2024,4768.38,Food,Food expense
2/6/2023,1101.19,Utilities,Utilities expense
1/3/2024,1471.89,Utilities,Utilities expense
2/28/2023,410.06,Utilities,Utilities expense
6/15/2024,4765.26,Health,Health expense
10/20/2023,2623.48,Utilities,Utilities expense
3/4/2025,4077.63,Food,Food expense
6/2/2023,2060.08,Utilities,Utilities expense
8/21/2024,4561.27,Shopping,Shopping expense
7/27/2025,4937.67,Utilities,Utilities expense
8/29/2024,1234.6,Health,Health expense
12/18/2024,3950.44,Transport,Transport expense
10/28/2024,169.55,Transport,Transport expense
8/27/2024,4131.97,Utilities,Utilities expense
4/1/2025,1771.76,Transport,Transport expense
11/30/2024,1745.15,Food,Food expense
4/6/2025,3488.68,Food,Food expense
4/15/2024,299.82,Shopping,Shopping expense
3/22/2024,2605.33,Utilities,Utilities expense
11/26/2025,2793.79,Education,Education expense
7/22/2023,1895.02,Entertainment,Entertainment expense
6/30/2024,929.58,Transport,Transport expense
7/28/2024,1759.97,Health,Health expense
5/18/2025,2965.58,Shopping,Shopping expense
5/22/2024,1460.01,Health,Health expense
7/5/2025,4438.13,Shopping,Shopping expense
12/9/2024,1412.98,Transport,Transport expense
10/1/2025,3754.5,Transport,Transport expense
11/2/2025,4536.41,Education,Education expense
3/10/2024,3799.48,Education,Education expense
4/21/2023,274.72,Health,Health expense
11/11/2023,3802.01,Entertainment,Entertainment expense
10/7/2024,287.05,Utilities,Utilities expense
7/30/2025,3600.78,Utilities,Utilities expense
12/23/2024,2756.45,Health,Health expense
8/4/2025,1002.72,Health,Health expense
8/24/2024,3634.64,Transport,Transport expense
1/2/2025,4167.58,Entertainment,Entertainment expense
8/4/2023,2161.85,Education,Education expense
9/5/2023,625.65,Transport,Transport expense
12/20/2024,4221.57,Utilities,Utilities expense
12/20/2023,1663.07,Entertainment,Entertainment expense
8/29/2025,4695.98,Health,Health expense
1/22/2023,862.05,Utilities,Utilities expense
3/5/2025,628.7,Entertainment,Entertainment expense
3/27/2025,268.97,Food,Food expense
1/7/2024,3557.31,Utilities,Utilities expense
10/19/2025,4344.41,Education,Education expense
2/17/2023,4658.0,Entertainment,Entertainment expense
6/25/2024,4756.22,Transport,Transport expense
8/26/2023,3833.18,Entertainment,Entertainment expense
8/7/2023,4488.46,Health,Health expense
2/8/2023,779.77,Transport,Transport expense
